planet_name,host_name,disc_method,disc_year,pl_orbper_days,pl_rad_rearth,pl_mass_mearth,st_teff_k,st_rad_rsun,st_mass_msun,pl_mass_mjup,pl_rad_rjup,habitable_zone_flag,esi,has_mass,has_radius,has_stellar_data
BD-210397 b,BD-210397,radial velocity,2023,1891.0,14.0,,4051.0,0.747,0.679,,1.248996342224998,outer,,False,True,True
BD-210397 c,BD-210397,radial velocity,2023,6240.0,12.9,1525.5763536,4051.0,0.747,0.69,4.800006146720868,1.1508609153358909,outer,0.0,True,True,True
BEBOP-3 b,BEBOP-3,radial velocity,2025,547.0,14.2,,6033.0,1.414,1.083,,1.2668391471139262,inner,,False,True,True
Barnard b,Barnard's star,radial velocity,2024,3.1542,0.72,,3195.0,0.185,0.162,,0.06423409760014274,outer,,False,True,True
Barnard c,Barnard's star,radial velocity,2025,4.1244,0.743,,3195.0,0.185,0.162,,0.06628602016236952,outer,,False,True,True
Barnard d,Barnard's star,radial velocity,2025,2.3402,0.694,,3195.0,0.185,0.162,,0.06191453296458203,outer,,False,True,True
Barnard e,Barnard's star,radial velocity,2025,6.7392,0.637,,3195.0,0.185,0.162,,0.0568293335712374,outer,,False,True,True
CD Cet b,CD Cet,radial velocity,2020,2.2907,1.82,,3130.0,0.175,0.161,,0.1623695244892497,outer,,False,True,True
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,imaging,2011,10037.5,12.4,3337.1,580.5,,0.021,10.499704242546283,1.1062539031135694,unknown,0.0,True,True,False
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,imaging,2021,8040000.0,20.8487041,2479.0615746,2320.0,0.245,0.0147,7.800009988421411,1.8599967972165223,outer,0.0,True,True,True
CHXR 73 b,CHXR 73,imaging,2006,,12.3,3994.486,3099.0,,0.35,12.568074556049185,1.0973325006691053,unknown,0.0,True,True,False
CI Tau c,CI Tau,radial velocity,2024,25.2,13.0,,3807.0,1.880857,0.9,,1.159782317780355,inner,,False,True,True
COCONUTS-2 b,COCONUTS-2 A,imaging,2021,402000000.0,12.44196858,2542.627256,3406.0,0.388,0.37,8.000010244534781,1.1099980890355963,outer,0.0,True,True,True
CT Cha b,CT Cha,imaging,2007,,24.66,5403.0,4403.0,1.679694,,16.999760876952315,2.200017842804889,unknown,0.0,True,True,False
CoRoT-1 b,CoRoT-1,transit,2008,1.5089557,16.7,327.35,5950.0,1.11,0.95,1.0299596007903649,1.489874208225533,inner,0.0,True,True,True
CoRoT-10 b,CoRoT-10,transit,2010,13.2406,10.87,874.0,5075.0,0.79,0.89,2.749915048390954,0.9697564457132661,inner,0.0,True,True,True
CoRoT-11 b,CoRoT-11,transit,2010,2.99433,16.03,740.51,6440.0,1.37,1.27,2.329908000553759,1.4301008118476226,inner,0.0,True,True,True
CoRoT-12 b,CoRoT-12,transit,2010,2.828042,16.14,291.438,5675.0,1.116,1.078,0.9169676680468681,1.4399143545365332,inner,0.0,True,True,True
CoRoT-13 b,CoRoT-13,transit,2010,4.03519,9.92,415.704,5945.0,1.01,1.09,1.3079527291490995,0.8850031224908556,inner,0.0,True,True,True
CoRoT-14 b,CoRoT-14,transit,2010,1.51214,12.22,2415.4,6035.0,1.21,1.13,7.599708018173352,1.090195378713534,inner,0.0,True,True,True
CoRoT-16 b,CoRoT-16,transit,2011,5.35227,13.11,170.032,5650.0,1.19,1.098,0.5349811847917743,1.1695958604692658,inner,0.0,True,True,True
CoRoT-17 b,CoRoT-17,transit,2011,3.7681,11.43,772.29,5740.0,1.59,1.04,2.429899190757265,1.019716299402266,inner,0.0,True,True,True
CoRoT-18 b,CoRoT-18,transit,2011,1.9000693,14.68,1102.82,5440.0,1.0,0.95,3.4698642032797613,1.3096618788473549,inner,0.0,True,True,True
CoRoT-19 b,CoRoT-19,transit,2011,3.89713,14.46,352.78,6090.0,1.65,1.21,1.1099714310885134,1.2900347934695335,inner,0.0,True,True,True
CoRoT-2 b,CoRoT-2,transit,2008,1.7429935,16.432,1102.82,5625.0,0.906,0.96,3.4698642032797613,1.4659648496743687,inner,0.0,True,True,True
CoRoT-20 b,CoRoT-20,transit,2011,9.24285,9.41556,1366.669,5880.0,1.02,1.14,4.3000270586606595,0.84,inner,0.0,True,True,True
CoRoT-20 c,CoRoT-20,radial velocity,2018,1675.0,12.2,,5880.0,1.02,1.14,,1.0884110982246409,outer,,False,True,True
CoRoT-21 b,CoRoT-21,transit,2012,2.72474,14.5717,718.2958,6200.0,1.95,1.29,2.2600142215286256,1.3,inner,0.0,True,True,True
CoRoT-22 b,CoRoT-22,transit,2014,9.75598,4.88,12.2,5939.0,1.136,1.099,0.03838554186541148,0.43536443928985635,inner,0.0,True,True,True
CoRoT-23 b,CoRoT-23,transit,2011,3.6313,11.77,889.9,5900.0,1.61,1.14,2.799942107051613,1.0500490677134446,inner,0.0,True,True,True
CoRoT-24 b,CoRoT-24,transit,2014,5.1134,3.7,5.7,4950.0,0.86,0.91,0.017934228576462742,0.330091890445178,inner,0.0,True,True,True
CoRoT-24 c,CoRoT-24,transit,2014,11.759,5.0,28.0,4950.0,0.86,0.91,0.08809796493700996,0.4460701222232135,inner,0.0,True,True,True
CoRoT-25 b,CoRoT-25,transit,2013,4.86069,12.11,85.81,6040.0,1.19,1.09,0.26998879897302946,1.0803818360246231,inner,0.0,True,True,True
CoRoT-26 b,CoRoT-26,transit,2013,4.20474,14.12,165.26,5590.0,1.79,1.09,0.5199667744817952,1.2597020251583548,inner,0.0,True,True,True
CoRoT-27 b,CoRoT-27,transit,2014,3.57532,11.287,3302.11,5900.0,1.08,1.05,10.389613249933928,1.0069586939066821,inner,0.0,True,True,True
CoRoT-28 b,CoRoT-28,transit,2015,5.20851,10.704595,153.82972,5150.0,1.78,1.01,0.4840030456725022,0.955,inner,0.0,True,True,True
CoRoT-29 b,CoRoT-29,transit,2015,2.85057,10.0881,270.1555,5260.0,0.9,0.97,0.8500053488050141,0.9000000000000001,inner,0.0,True,True,True
CoRoT-3 b,CoRoT-3,transit,2008,4.2568,11.32,6883.91,6740.0,1.56,1.37,21.659230778911866,1.0099027567133554,inner,0.0,True,True,True
CoRoT-30 b,CoRoT-30,transit,2020,9.06005,11.309881,921.707,5650.0,0.91,0.98,2.900018248864166,1.0090000000000001,inner,0.0,True,True,True
CoRoT-31 b,CoRoT-31,transit,2020,4.62941,16.36514,266.9772,5700.0,2.15,1.25,0.8400052858778962,1.46,inner,0.0,True,True,True
CoRoT-32 b,CoRoT-32,transit,2018,6.71837,6.38913,47.6745,5970.0,0.79,1.08,0.1500009439067672,0.57,inner,0.0,True,True,True
CoRoT-35 b,CoRoT-35,transit,2022,3.22748,18.83108758,349.6112477,6390.0,1.65,1.01,1.1000014086235324,1.6799971076813274,inner,0.0,True,True,True
CoRoT-36 b,CoRoT-36,transit,2022,5.616531,15.80466279,216.12331676,6730.0,1.52,1.32,0.6800008707854563,1.409997572486395,inner,0.0,True,True,True
CoRoT-4 b,CoRoT-4,transit,2008,9.20205,13.34,228.83,6190.0,1.17,1.16,0.719980618447714,1.1901150860915337,inner,0.0,True,True,True
CoRoT-5 b,CoRoT-5,transit,2009,4.0378962,15.558,148.42,6100.0,1.186,1.0,0.4669821412839649,1.3879917923097511,inner,0.0,True,True,True
CoRoT-6 b,CoRoT-6,transit,2009,8.886593,13.068,940.74,6090.0,1.025,1.05,2.9599028405300984,1.1658488714425908,inner,0.0,True,True,True
CoRoT-7 b,CoRoT-7,transit,2009,0.85359163,1.68135,4.0766051771,5275.0,0.83,0.82,0.01282645071264961,0.15,inner,0.0,True,True,True
CoRoT-7 c,CoRoT-7,radial velocity,2009,3.698,2.83,8.4,5256.0,0.864273,0.899,0.02642938948110299,0.25247568917833885,inner,0.0,True,True,True
